impd,min_tl_June,max_tl_June,min_tl_August,max_tl_August,min_tl_October,max_tl_October,min_gzs_cpe,max_gzs_cpe,min_secchi,max_secchi
Butler,21,560,54,536,69,479,3.00,18.75,20,76
Clark,38,430,64,531,109,570,6.67,8.50,23,100
Cowley,27,494,48,487,51,555,0.00,10.75,43,145
Douglas,29,438,32,493,78,492,0.00,2.50,40,290
Geary,22,467,33,411,54,441,5.00,9.25,100,257
Meade,22,480,53,523,61,561,0.00,0.00,28.000000000000004,77
Neosho,23,531,54,495,63,482,8.25,28.75,20,85
Ottawa,14,474,45,361,53,519,1.67,19.67,9,57.99999999999999
Pottawatomie,27,420,39,391,56,460,0.00,18.00,100,310
Scott,24,425,55,456,64,452,0.00,0.00,19,320
Shawnee,24,490,50,535,85,496,0.00,4.50,43,150
Washington,38,454,50,435,49,509,0.00,12.00,15,120
